"","distance","moving_time","elapsed_time","total_elevation_gain","type","start_date","month","month_order","achievement_count","average_speed","max_speed","elev_high","elev_low","pr_count","season"
"1",5.182855511,3421,3776,672.5722,"NordicSki",2022-02-09 23:14:04,"02",7,11,5.45365972,25.66664956,4879.265248,4523.294108,8,"2021/2022 season"
"2",6.4642467872,4464,5021,908.464596,"NordicSki",2022-02-08 22:51:29,"02",7,8,5.2120702,24.87924668,5167.979168,4573.49096,6,"2021/2022 season"
"3",6.9175990688,5384,6479,1120.40686,"NordicSki",2022-02-07 22:24:22,"02",7,8,4.62599192,22.32913508,5167.979168,4575.13138,5,"2021/2022 season"
"4",22.7803307794,9635,15568,12534.777304,"AlpineSki",2022-02-05 19:34:04,"02",7,3,8.5115567,32.37299568,6397.638,3979.330836,1,"2021/2022 season"
"5",26.7437457029,13469,19059,14738.189448,"Snowboard",2022-01-30 17:47:32,"01",6,3,7.1470233,49.18583672,6689.304676,3747.703532,1,"2021/2022 season"
"6",22.724780212,12388,16877,12769.357364,"AlpineSki",2022-01-28 18:30:57,"01",6,0,6.60344688,38.10403596,5539.042172,4497.703556,0,"2021/2022 season"
"7",7.9626829537,2795,2892,145.669296,"Ride",2022-01-27 20:07:17,"01",6,0,10.2563699,24.45422808,1991.797964,1959.317648,0,"2021/2022 season"
"8",24.1339253658,12121,13453,13735.892828,"AlpineSki",2022-01-26 20:13:06,"01",6,3,7.16715576,40.63625204,5539.042172,4516.732428,1,"2021/2022 season"
"9",5.6099859364,3371,4149,663.057764,"NordicSki",2022-01-25 21:31:07,"01",6,11,5.99052532,24.63765716,4831.693068,4575.13138,10,"2021/2022 season"
"10",5.8788531681,5049,5987,662.72968,"NordicSki",2022-01-23 20:28:17,"01",6,3,4.19202556,26.36010096,4832.021152,4573.49096,1,"2021/2022 season"
"11",29.4853588291,12285,18493,18139.108192,"Snowboard",2022-01-20 17:58:59,"01",6,10,8.64129922,35.1646968,6400.590756,3966.207476,4,"2021/2022 season"
"12",4.2873356258,4521,6080,436.023636,"NordicSki",2022-01-18 00:16:38,"01",6,2,3.41357044,17.17075144,4801.837424,4523.294108,0,"2021/2022 season"
"13",4.0253656122,4277,6547,249.34384,"NordicSki",2022-01-13 20:41:45,"01",6,2,3.3889641,22.75862756,4627.62482,4432.742924,0,"2021/2022 season"
"14",20.9065865289,10161,13597,10914.042344,"AlpineSki",2022-01-12 23:27:10,"01",6,12,7.40650834,32.39536508,5816.601236,4375.328224,5,"2021/2022 season"
"15",15.0000202142,18000,18000,10000.00032,"Snowboard",2022-01-10 17:30:00,"01",6,0,2.99973654,0,NA,NA,0,"2021/2022 season"
"16",19.1390345823,10017,17675,10253.609252,"Snowboard",2022-01-08 19:37:46,"01",6,0,6.8785905,37.23162936,5854.330896,4261.154992,0,"2021/2022 season"
"17",1.8088731181,1871,1985,35.104988,"NordicSki",2022-01-05 23:08:53,"01",6,0,3.48067864,13.8578433,1989.173292,1969.488252,0,"2021/2022 season"
"18",8.5130933855,7481,8149,130.577432,"NordicSki",2022-01-05 19:59:47,"01",6,0,4.09583714,10.3682169,2024.606364,1975.06568,0,"2021/2022 season"
"19",1.8897756223,1880,2012,28.215224,"NordicSki",2022-01-04 23:56:20,"01",6,0,3.61936892,9.63673752,1987.204788,1975.06568,0,"2021/2022 season"
"20",5.1981412376,4594,4959,82.677168,"NordicSki",2022-01-04 21:08:24,"01",6,0,4.07346774,14.10614364,1989.173292,1959.317648,0,"2021/2022 season"
"21",19.8544811517,11408,15330,9177.165648,"AlpineSki",2022-01-01 20:05:39,"01",6,1,6.26566894,36.46659588,5537.729836,4504.921404,1,"2021/2022 season"
"22",20.2650831085,11684,14419,11959.317968,"Snowboard",2021-12-30 20:08:07,"12",5,3,6.24329954,30.14947732,5539.042172,4519.3571,0,"2021/2022 season"
"23",5.8018653012,5002,5579,762.7953,"NordicSki",2021-12-29 21:38:36,"12",5,10,4.17636698,22.1904448,4832.021152,4575.13138,2,"2021/2022 season"
"24",12.9255109936,7376,8998,6663.38604,"Snowboard",2021-12-27 20:41:19,"12",5,1,6.3081708,37.97429344,5537.729836,4513.779672,0,"2021/2022 season"
"25",5.7596120732,5897,6691,681.758552,"NordicSki",2021-12-26 19:10:38,"12",5,2,3.51646968,18.93346016,4832.021152,4523.294108,1,"2021/2022 season"
"26",11.5747125767,5956,9840,4843.832176,"Snowboard",2021-12-25 21:24:37,"12",5,2,6.99714832,24.29764228,5538.714088,4722.113012,0,"2021/2022 season"
"27",22.4885349578,13122,16689,11705.052868,"AlpineSki",2021-12-24 19:31:46,"12",5,5,6.16948052,32.84051614,5537.729836,4519.029016,2,"2021/2022 season"
"28",5.8704025225,5873,6304,712.926532,"NordicSki",2021-12-23 22:20:17,"12",5,3,3.59923646,22.11438884,4832.021152,4575.13138,3,"2021/2022 season"
"29",10.772087656,6762,7973,5033.792812,"AlpineSki",2021-12-21 20:10:51,"12",5,3,5.73551416,23.79209384,5537.729836,4518.044764,1,"2021/2022 season"
"30",8.7381539617,5386,6349,5637.467372,"Snowboard",2021-12-21 17:40:05,"12",5,1,5.84065034,26.51221288,5537.401752,4509.842664,0,"2021/2022 season"
"31",6.7557319233,5383,5611,855.971156,"NordicSki",2021-12-20 22:08:24,"12",5,9,4.5186188,20.56195248,4879.265248,4566.92928,7,"2021/2022 season"
"32",4.5547115671,5911,8075,601.706056,"Hike",2021-12-17 21:51:00,"12",5,0,2.7738056,24.8971422,434.383216,9.84252,0,"2021/2022 season"
"33",18.3139160314,9863,16074,7786.417572,"Snowboard",2021-12-15 18:43:05,"12",5,7,6.68397672,29.94367884,9899.606616,8058.071124,2,"2021/2022 season"
"34",27.2535184713,11228,14614,14034.449268,"Snowboard",2021-12-13 18:51:22,"12",5,12,8.73748764,30.69529068,9889.764096,8763.451724,5,"2021/2022 season"
"35",33.1088216785,14326,22851,16309.711808,"Snowboard",2021-12-12 17:14:49,"12",5,19,8.31917986,35.28101768,10972.441296,8286.745672,9,"2021/2022 season"
"36",4.7573406502,6173,6658,645.341228,"Hike",2021-12-05 21:11:03,"12",5,0,2.7738056,6.5094954,2651.902972,2062.992192,0,"2021/2022 season"
"37",1.2873564378,2036,2632,138.123364,"Hike",2021-12-04 22:18:49,"12",5,0,2.27720492,5.67287984,3911.089364,3825.45944,0,"2021/2022 season"
"38",5.1320895003,1359,1359,85.30184,"Ride",2021-12-03 21:47:36,"12",5,0,13.59388438,19.5396709,1991.797964,1959.317648,0,"2021/2022 season"
"39",5.113261959,1314,1314,85.30184,"Ride",2021-11-30 21:27:41,"11",4,0,14.00995522,23.59524312,1991.797964,1959.317648,0,"2021/2022 season"
"40",5.1373090167,1290,1290,85.30184,"Ride",2021-11-29 23:54:41,"11",4,0,14.33654846,18.93346016,1991.797964,1959.317648,0,"2021/2022 season"
"41",10.4241820331,3090,3129,227.034128,"Ride",2021-11-28 20:52:41,"11",4,0,12.14434726,23.0852208,2035.105052,1925.524996,0,"2021/2022 season"
"42",4.557756285,5164,6524,517.388468,"NordicSki",2021-11-26 19:49:49,"11",4,4,3.1764548,21.41646356,4801.837424,4573.49096,0,"2021/2022 season"
"43",6.1021117684,5992,6924,738.189,"NordicSki",2021-11-25 18:12:50,"11",4,6,3.66634466,18.58226058,4801.837424,4573.49096,2,"2021/2022 season"
"44",5.1473752269,1478,1526,85.629924,"Ride",2021-11-22 20:19:13,"11",4,0,12.5380487,23.0181126,1991.797964,1959.317648,0,"2021/2022 season"
"45",5.4865816558,5788,6983,469.816288,"NordicSki",2021-11-20 21:04:53,"11",4,0,3.41357044,13.64980788,4823.162884,4371.063132,0,"2021/2022 season"
"46",5.1049977247,1373,1391,85.30184,"Ride",2021-11-18 21:23:03,"11",4,0,13.38584896,36.43080484,1991.797964,1959.317648,0,"2021/2022 season"
"47",5.1292933308,1569,1597,85.629924,"Ride",2021-11-10 16:07:17,"11",4,0,11.76854134,31.6974398,1991.797964,1959.317648,0,"2021/2022 season"
"48",5.1762068413,1341,1368,85.30184,"Ride",2021-11-08 21:08:52,"11",4,0,13.89587128,20.7811726,1991.797964,1959.317648,0,"2021/2022 season"
"49",5.0995296599,1284,1299,84.973756,"Ride",2021-11-05 19:19:42,"11",4,0,14.29852048,23.79656772,1991.797964,1959.317648,0,"2021/2022 season"
"50",1.1200212275,325,348,19.68504,"Ride",2021-11-03 19:27:39,"11",4,0,12.40606924,19.41216532,1991.797964,1980.315024,0,"2021/2022 season"
